Keep,Order,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,sample
No,,GO:0030004,cellular monovalent inorganic cation homeostasis,38,0.6408939734444430,1.866880054181090,1.48914472001118E-04,0.02650677601619910,0.025621839297417300,893,"tags=39%, list=16%, signal=34%",853876/851637/2732686/853782/854220/856421/856457/853741/854509/856435/853312/853924/851784/856659/854444,1728
Yes,7,GO:0033108,mitochondrial respiratory chain complex assembly,46,0.6167784622673380,1.891256611139750,2.11658528101394E-04,0.034535616501877400,0.03338263451985140,896,"tags=50%, list=16%, signal=43%",853721/855299/852953/852142/853812/850642/856650/850756/856786/853009/853383/852104/856897/851981/851651/851491/852332/850915/851817/850900/853095/852417/853454,1728
Yes,10,GO:0055067,monovalent inorganic cation homeostasis,40,0.6217824372155330,1.8408083028863600,3.28628439634816E-04,0.04596103462892640,0.044426611613789400,893,"tags=38%, list=16%, signal=32%",853876/851637/2732686/853782/854220/856421/856457/853741/854509/856435/853312/853924/851784/856659/854444,1728
No,,GO:0017004,cytochrome complex assembly,40,0.6196910801615010,1.8346167683576500,3.90466505224895E-04,0.048008634347337600,0.046405851597501800,896,"tags=52%, list=16%, signal=45%",853721/855299/852953/852142/850642/850756/856786/853009/853383/852104/856897/851981/851651/853775/851491/850915/851817/850900/853095/852417/853454,1728
No,,GO:0022900,electron transport chain,60,-0.5226276765505960,-1.868719235268630,3.92307532971094E-04,0.048008634347337600,0.046405851597501800,94,"tags=17%, list=2%, signal=17%",854627/854598/854604/854622/854583/854595/854605/854597/854596/854594,1728
Yes,2,GO:0042273,ribosomal large subunit biogenesis,121,0.4697380510562040,1.9781452135998600,2.97095432471326E-07,5.79336093319086E-04,5.71674158481668E-04,654,"tags=32%, list=12%, signal=29%",853934/853937/853864/853847/851208/852686/850695/856388/855664/853894/850982/856217/855613/855903/853860/850549/854658/852026/853855/855774/855972/853956/854902/853674/853969/852802/853682/855539/855908/856352/853516/852995/853071/853051/850682/854696/856723/851665/856463,1734
No,,GO:0000470,maturation of LSU-rRNA,59,0.5410388585786300,2.0470997347957600,2.21866874103166E-05,0.02163202022505870,0.02134592872950460,654,"tags=37%, list=12%, signal=33%",853934/853937/853847/851208/852686/855664/853894/850982/855613/855903/850549/853855/855774/853956/853674/852802/856352/853516/852995/850682/856723/856463,1734
No,,GO:0006754,ATP biosynthetic process,18,0.7409929797599070,2.103317998667540,1.50670199670954E-04,0.048967814893060200,0.04832019736815870,135,"tags=22%, list=2%, signal=22%",851560/851892/851983/853853,1734
No,,GO:0015985,"energy coupled proton transport, down electrochemical gradient",18,0.7409929797599070,2.103317998667540,1.50670199670954E-04,0.048967814893060200,0.04832019736815870,135,"tags=22%, list=2%, signal=22%",851560/851892/851983/853853,1734
Yes,9,GO:0015986,ATP synthesis coupled proton transport,18,0.7409929797599070,2.103317998667540,1.50670199670954E-04,0.048967814893060200,0.04832019736815870,135,"tags=22%, list=2%, signal=22%",851560/851892/851983/853853,1734
No,,GO:0006412,translation,452,0.4416355309076950,1.9060035532050700,1E-10,6.51333333333333E-08,6.28771929824562E-08,953,"tags=33%, list=17%, signal=30%",853809/852111/850592/856610/851419/852082/855773/851427/852479/852748/851993/851948/853684/851302/851823/852061/850695/855299/854339/853557/851890/856388/851476/856784/852911/856552/850590/852191/856491/856352/851515/852994/856217/854029/854673/852415/851937/854983/851491/852730/856868/853560/851082/853578/853720/850643/855903/850756/853135/854984/856196/852922/853382/852254/851589/856853/852754/853305/853610/851160/854883/855415/855410/850397/852811/852242/853867/853383/851636/853015/850320/856573/856402/851755/850388/853565/854117/853137/856384/851260/1466460/856776/854760/852014/852489/853262/851575/852553/855512/852771/851325/851421/853249/856820/856660/852073/851730/851517/855651/852379/853128/856897/851369/851477/855972/855639/852967/852585/856433/854696/856656/850967/852042/850737/851861/856725/850835/850764/852107/853081/851122/852039/853349/851952/852945/852483/851980/850682/851606/851611/851052/855960/851259/852734/854135/850647/853781/856757/855177/855918/856154/852419/853075/852870/856026/853301/855727/853875/850434/854994/850413,1740
Yes,3,GO:0006518,peptide metabolic process,487,0.4281009636803440,1.8573076806125900,1E-10,6.51333333333333E-08,6.28771929824562E-08,917,"tags=31%, list=16%, signal=28%",853809/852111/850592/856610/851419/852082/855773/851427/852479/852748/851993/851948/853684/851302/851823/852061/850695/855299/854339/853557/851890/856388/851476/856784/852911/856552/850590/852191/856491/856352/851515/852994/856217/854029/854673/852415/851937/854983/851491/852730/856868/853560/851082/853578/853720/850643/855903/850756/851105/853135/854984/856196/852922/853382/852254/851589/856853/852754/853305/853610/851160/854883/855415/855410/850397/852811/852242/853867/853383/851636/853015/850320/856573/856402/851755/850388/853565/854117/853137/856384/851260/1466460/856776/854760/852014/852489/853262/851575/852553/855512/852771/851325/851421/853249/856820/856660/852073/851730/851517/855651/852379/853128/856897/851369/851477/855972/855639/852967/852585/856433/854696/856656/850967/852042/850737/851861/856725/850835/850764/852107/853081/851122/852039/853349/851952/852945/852483/851980/850682/851606/851611/852993/851052/855960/851259/852734/854135/850647/853781/856757/855177/855918/856154/852419/853075/852870/856026/853301/855727,1740
No,,GO:0043043,peptide biosynthetic process,456,0.4367082148784490,1.8852247232506000,1E-10,6.51333333333333E-08,6.28771929824562E-08,953,"tags=33%, list=17%, signal=30%",853809/852111/850592/856610/851419/852082/855773/851427/852479/852748/851993/851948/853684/851302/851823/852061/850695/855299/854339/853557/851890/856388/851476/856784/852911/856552/850590/852191/856491/856352/851515/852994/856217/854029/854673/852415/851937/854983/851491/852730/856868/853560/851082/853578/853720/850643/855903/850756/853135/854984/856196/852922/853382/852254/851589/856853/852754/853305/853610/851160/854883/855415/855410/850397/852811/852242/853867/853383/851636/853015/850320/856573/856402/851755/850388/853565/854117/853137/856384/851260/1466460/856776/854760/852014/852489/853262/851575/852553/855512/852771/851325/851421/853249/856820/856660/852073/851730/851517/855651/852379/853128/856897/851369/851477/855972/855639/852967/852585/856433/854696/856656/850967/852042/850737/851861/856725/850835/850764/852107/853081/851122/852039/853349/851952/852945/852483/851980/850682/851606/851611/851052/855960/851259/852734/854135/850647/853781/856757/855177/855918/856154/852419/853075/852870/856026/853301/855727/853875/850434/854994/850413,1740
Yes,13,GO:0016071,mRNA metabolic process,329,-0.4213567657908090,-1.8216978167200100,9.66429660263597E-08,3.77680711231014E-05,3.64598305514182E-05,1074,"tags=29%, list=19%, signal=25%",850455/853971/856478/856870/856065/851895/856253/856476/851741/854749/855489/851212/856732/851201/852398/856534/855424/851887/853788/852582/852786/851389/852344/851661/853195/855281/852650/853860/854026/852538/855497/855524/856170/851776/855499/851968/855902/854851/850555/851752/851394/850440/852539/851475/851716/856466/856570/854190/854424/855583/856919/855500/851821/850981/854817/850974/853843/850383/855565/856278/856912/851255/850579/851471/851884/851318/854243/856319/854023/850528/852955/853318/853681/854213/855591/851874/853871/855716/852987/855788/851200/853606/850355/852089/854319/854604/853109/854605/854582/854593/854594/854595/854597/854596,1740
Yes,8,GO:0019646,aerobic electron transport chain,18,-0.8230922811658840,-2.1682207176765300,6.14273299880822E-06,0.0015003625349589100,0.0014483917807716200,155,"tags=33%, list=3%, signal=33%",854627/855298/854622/854595/854597/854596,1740
Yes,6,GO:0140053,mitochondrial gene expression,161,0.447670998571463,1.756061617552480,4.55954462627644E-05,0.00636382157124583,0.006143386443825100,519,"tags=31%, list=9%, signal=29%",851637/855773/852748/851948/853684/851823/855299/851890/856552/856491/851515/852994/851937/854983/851491/853578/853720/850756/853135/856196/853382/851160/854883/853432/853053/855410/851529/852811/852242/853867/853383/856402/851755/850388/853565/853137/856384/856776/854760/852014/852553/851325/856660/852073/851517/855651/856897/852967/852585/856433,1740
Yes,15,GO:1903047,mitotic cell cycle process,361,-0.44712859646466900,-1.5384026126812100,1.27489539061826E-06,0.0024758468485806500,0.002161954183458960,1192,"tags=32%, list=21%, signal=27%",855407/853846/855646/853371/854232/853125/854249/854827/855565/852782/850601/854554/851075/851904/852050/854296/850366/855459/853244/850553/851696/855013/852088/852180/856530/855463/852275/854191/856892/852881/850977/851274/852258/850504/853100/855228/856240/851513/851023/856680/852305/853696/851217/850344/850589/851495/853010/855478/854315/851373/853011/856847/854843/852395/853773/855238/854408/851957/855356/853551/850447/852516/852809/851190/851965/852119/854555/851545/856598/855987/855892/853513/855929/852229/853434/856831/850585/852990/855450/850539/852685/853178/851963/856254/850803/851086/856318/854084/853539/852732/853817/851485/850515/853818/854436/852787/855834/851051/855339/851440/850768/854020/851925/856130/851209/850657/850584/851561/850358/855166/851424/852385/851533/856870/851724/855102/854223,1744
Yes,1,GO:0022613,ribonucleoprotein complex biogenesis,464,-0.42169539196183500,-1.4581209849436800,6.0487284148404E-06,0.005873315290810030,0.005128684987530460,1337,"tags=39%, list=24%, signal=32%",856732/851319/851584/856746/856839/856488/850652/850893/850982/856217/854162/853193/854117/854245/855430/850894/855489/851893/854793/851035/854221/855332/856919/853397/856575/853529/854075/853128/850422/850623/850764/852782/856461/851052/854265/856429/854381/856024/852449/851154/850797/851665/852987/853526/856449/852757/856603/851471/850919/852398/854357/851734/851775/852042/853133/856436/853458/855224/854380/856466/852371/851313/856462/855497/853499/853320/855960/853498/853632/855269/850440/852539/851407/854747/851200/856864/854759/853409/853471/854543/850304/856312/856063/854385/852282/852487/851403/852964/856485/855613/851033/856862/854717/854213/855275/853780/856574/855028/851636/856805/850757/850539/850889/855536/852607/851660/856889/852854/853029/851963/853071/852646/853682/853784/850796/851103/851113/851821/852976/853166/853516/856012/852804/852741/852982/856489/850752/850839/851548/853674/855544/853301/851336/853385/850808/853188/850397/852026/855477/856815/855281/852972/853293/852549/852089/855500/856250/850401/853445/854984/854519/853062/852263/854939/852206/852742/851450/851162/851447/852060/854376/851771/856863/851656/852767/856317/853578/853681/851830/851499/855790/852560/855758/850625/856292/850981/851968/851169/856758,1744
Yes,12,GO:0034660,ncRNA metabolic process,447,-0.4159443162489490,-1.4406445765259600,3.11501758481462E-05,0.015123410374275000,0.013206035076674600,1398,"tags=39%, list=25%, signal=32%",850883/854814/853376/855841/850649/855301/853750/855946/851319/851584/856839/852994/856488/850652/850893/850982/854162/852468/853114/850550/853193/854060/854245/850894/855489/851893/854793/854221/853397/853529/854075/853128/850422/856413/855603/851326/856461/856429/856024/851154/850797/851665/852987/856491/853708/856449/851100/850522/852757/856603/853317/853432/850919/850795/851775/852042/856412/856436/853458/854380/852198/856466/850355/851313/856462/855497/852986/851513/853498/853632/855269/855911/850388/851407/850343/851200/856864/853851/850304/856063/851607/852282/852353/856915/852487/851403/856485/853417/850643/855613/851033/856862/854717/855338/854213/851861/853780/856574/855028/852418/851636/856805/850757/851255/850539/850889/852607/853178/856820/855688/851660/856889/852854/853029/852646/853682/853784/850796/853081/853166/853516/852939/853181/856012/852804/852741/852982/856489/850752/851548/852834/853674/854243/853640/851336/853188/850397/854994/856815/852972/852549/852089/852773/855500/854020/856250/850401/856594/853445/851860/853062/854832/852263/854939/852206/852742/851117/856402/851162/851447/851557/852060/854376/856863/851656/852767/853097/851499/854425/855790/852560/855758/856467/852707,1744
Yes,16,GO:0140014,mitotic nuclear division,175,-0.4841646454384690,-1.6187157547080600,6.28615304751711E-05,0.024415418436556400,0.021319984335894900,1186,"tags=37%, list=21%, signal=30%",853846/855646/853371/854827/852782/851904/855459/850553/851696/855013/852180/856530/855463/852275/854191/852881/850977/851274/853100/855228/852305/851217/850344/850589/851495/853010/854315/851373/854843/853773/854408/851957/855356/853551/850447/852809/851190/851965/854555/851545/856598/855892/853513/853434/850585/852990/852685/851963/856254/850803/853817/854436/852787/851925/851209/850584/851561/850358/852385/851533/856870/851724/855102/854223,1744
Yes,5,GO:0032543,mitochondrial translation,130,0.5109379969290160,2.1852503061818200,1.85575121044116E-09,3.61129185551849E-06,3.59234365894872E-06,483,"tags=32%, list=9%, signal=30%",855773/851692/852748/851948/850756/851823/856433/854983/851937/856402/851890/853137/850359/852585/856552/853075/852073/856196/856776/852811/854760/853720/856491/853875/853578/856384/851515/852994/856897/856596/856660/851325/852553/851778/853129/852734/852242/851491/853135/855651/852105/856160,1747
Yes,3,GO:0006518,peptide metabolic process,478,0.31939479518663000,1.5541992000149000,1.29574399621765E-07,6.30379454159888E-05,6.27071897116911E-05,573,"tags=20%, list=10%, signal=20%",853809/855718/855773/851692/852748/852061/850592/855731/851948/853262/850756/851427/851419/851823/851990/852111/852686/856610/856433/851476/851993/856839/853557/854983/851575/855903/851937/856402/852922/851320/855174/851890/852191/853137/856388/854696/850320/850359/852585/851260/856552/853560/855232/853075/852073/850590/856196/852415/856776/852811/854760/854794/853720/850643/856491/853875/853578/856384/851515/852994/852039/855512/856897/856596/853051/850750/856660/850397/851325/850967/852107/852553/851778/853129/851477/852734/852242/852775/854263/851491/855984/853135/855651/856725/852105/851422/854673/856160/852042/851369/852014/852804/853128/851695/854984/852026,1747
Yes,6,GO:0140053,mitochondrial gene expression,158,0.4305982280083990,1.9140038736930600,1.10668011046703E-06,3.58933249161473E-04,3.57049951429625E-04,483,"tags=28%, list=9%, signal=27%",855773/851692/852748/851948/850756/851637/851823/856433/851529/854983/851937/856402/851890/853137/850359/852585/856552/853075/852073/856196/856776/852811/854760/853720/856491/853875/853578/856384/851515/852994/856897/856596/853053/856660/851325/852553/851778/853129/852734/852242/851491/853135/855651/852105/856160,1747
Yes,11,GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,14,-0.7954307584442130,-1.8794527758029600,1.24966600313334E-04,0.0347407148871068,0.034558432778379100,578,"tags=43%, list=10%, signal=39%",854115/855788/853843/854053/851389/854773,1747
Yes,17,GO:0032202,telomere assembly,11,0.8105376437107620,1.9739595929008000,1.48351872509341E-04,0.03608659298789710,0.03589724915061540,556,"tags=45%, list=10%, signal=41%",853957/851048/853808/851813/855328,1747
