ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,sample,strain_names
GO:0006091,generation of precursor metabolites and energy,227,-0.3914886830755088,-1.5979766176253651,5.723659941969873e-5,0.00107497488285121,7.945343735234496e-4,890,"tags=28%, list=15%, signal=25%",855947/854681/851013/853568/851892/851474/852545/853585/853106/851758/853984/856925/854556/851595/856781/850322/854559/853326/850776/856579/850317/856689/853830/852414/855811/855769/851726/852433/852314/850614/852825/851059/855045/850370/852128/856448/854695/854303/851216/853705/854163/854932/856924/855732/856132/856314/853584/851620/856921/856797/855363/854766/856705/852934/852124/850962/854525/851541/853169/855131/855577/856289/853163,1728,aneu
GO:0065004,protein-DNA complex assembly,129,0.5144032512227563,1.672259651726701,1.1535528680648584e-4,0.00187374398299183,0.00138491980177345,1591,"tags=44%, list=26%, signal=33%",853817/853922/853327/856831/851416/850638/854106/853475/854869/853865/853712/854976/855267/853752/855976/854926/853773/856437/850793/852860/856485/854875/852814/852294/854901/854369/851745/851197/855276/852673/852184/855208/856904/854433/851928/854841/856455/855055/855539/851170/851810/853807/853100/850688/852258/855473/854937/856165/854993/856297/855701/853098/851559/855515/856383/854964/852269,1728,aneu
GO:0071826,ribonucleoprotein complex subunit organization,189,0.4785428936128504,1.6403980840443717,1.190371861136553e-4,0.00188266707511333,0.00139151502880782,1239,"tags=40%, list=20%, signal=33%",853956/853847/853788/853860/856436/855599/856292/853248/853892/850839/853767/850796/853700/853681/852039/854844/850424/856485/854330/854446/854468/850652/853961/854829/852976/851318/851589/855302/855836/851201/854075/853969/850521/855547/852814/853933/856217/854028/856012/853578/856228/851530/855410/856312/854999/855269/855477/851771/853303/852816/850435/851033/855536/856746/851632/856429/850422/850918/851196/852337/855773/854078/852371/853064/855539/854026/850440/855177/855664/850695/855611/851907/854702/852084/852749/851471,1728,aneu
GO:0044283,small molecule biosynthetic process,362,-0.334646286647153,-1.4374619759058629,1.9337574965649711e-4,0.00283460550106231,0.00209511081784446,930,"tags=24%, list=15%, signal=22%",855444/854334/856239/854342/854396/851126/851987/852476/856173/852065/854710/856597/853106/854986/852146/850664/856182/856824/853602/854556/854913/852644/852813/853348/854736/851087/855107/855315/851010/855860/855887/851822/855164/855250/852883/856296/852875/856539/852314/852825/850778/852925/856079/850790/850370/854090/850898/854326/855248/850400/856609/855855/856234/852763/854303/853604/854356/853705/852456/853466/851171/852288/851547/850588/855321/855732/852329/851620/850997/854762/856638/853613/855206/853243/855137/851238/853059/851092/852342/851334/854452/853386/850933/854760/856791/855205/850295/856759,1728,aneu
GO:0022618,ribonucleoprotein complex assembly,183,0.4818389870052888,1.6422477072581592,2.091428842202539e-4,0.00292313659107843,0.00216054582964374,1359,"tags=43%, list=22%, signal=34%",853956/853847/853788/853860/856436/855599/856292/853248/850839/853767/850796/853700/853681/852039/854844/850424/856485/854330/854468/850652/853961/854829/852976/851318/851589/855302/855836/851201/854075/853969/850521/855547/852814/853933/856217/854028/856012/853578/856228/851530/855410/856312/854999/855269/855477/851771/853303/852816/850435/851033/855536/856746/851632/856429/850422/850918/851196/852337/855773/854078/852371/853064/855539/854026/850440/855177/855664/850695/855611/851907/854702/852084/851471/851005/854338/850889/850528/855957,1728,aneu
GO:0042255,ribosome assembly,80,0.5707462404455111,1.744329754967721,2.4548051522432145e-4,0.00333843464519123,0.00246750051715684,1422,"tags=51%, list=23%, signal=40%",853956/853847/853860/853248/850796/853700/854844/856485/854468/850652/854829/852976/851589/854075/853969/856217/854028/853578/856228/855410/856868/855269/852816/850435/855536/851632/850422/850918/851196/852337/855773/854078/853064/855539/850695/851907/854338/855558/855957/856655/850549,1728,aneu
GO:0000723,telomere maintenance,83,0.5453053298257979,1.6742542523721184,4.25535676691666e-4,0.00521932534064676,0.00385770258998674,673,"tags=20%, list=11%, signal=18%",853811/856940/853213/853910/853743/856831/855377/853255/853197/1500489/850346/855846/854976/850843/852933/855836/856827,1728,aneu
GO:0060249,anatomical structure homeostasis,83,0.5453053298257979,1.6742542523721184,4.25535676691666e-4,0.00521932534064676,0.00385770258998674,673,"tags=20%, list=11%, signal=18%",853811/856940/853213/853910/853743/856831/855377/853255/853197/1500489/850346/855846/854976/850843/852933/855836/856827,1728,aneu
GO:0006352,"DNA-templated transcription, initiation",83,0.5440541653077117,1.6704127943847331,4.561492437441972e-4,0.00536829388188352,0.00396780807103047,1715,"tags=52%, list=28%, signal=38%",853734/853840/854106/853475/853865/853712/855267/853713/854926/850832/855571/856437/852860/854875/852814/854369/851745/855276/852338/852184/855208/856904/854433/854841/856455/855055/850515/852547/853807/853936/854020/855473/856165/854993/856297/853098/851559/854964/852269/854663/855017/851723/853301,1728,aneu
GO:0000122,negative regulation of transcription by RNA polymerase II,163,0.4807033478345887,1.6073470040456317,4.611796627227754e-4,0.00536829388188352,0.00396780807103047,1174,"tags=33%, list=19%, signal=27%",850449/854927/853836/850744/855060/3289591/852410/854106/853475/853865/856366/856908/855626/852652/855092/850445/851753/853828/853748/856674/856437/850513/851220/852860/856178/852042/851214/853744/852294/852809/856382/854404/853938/851788/853523/853315/855522/856058/856822/851905/856763/852184/855648/856904/853650/850873/856076/854448/850630/850515/851810/851903/854675/853985,1728,aneu
GO:0044282,small molecule catabolic process,153,-0.403060236117202,-1.567152502081645,4.913511675865451e-4,0.00557173682489648,0.00411817661810371,1057,"tags=36%, list=17%, signal=30%",853172/850307/855699/852150/855009/855518/850906/851376/853377/850402/854334/853108/852009/851987/852476/851307/852146/852307/851247/852038/855107/852291/851726/855250/850787/856539/852874/850778/856079/854090/851865/853559/852796/852308/854932/855447/852902/855482/855321/852679/851802/854287/851620/852306/854762/851974/853613/856504/852721/851311/853386/850933/855131/855291/850295,1728,aneu
GO:0055086,nucleobase-containing small molecule metabolic process,218,-0.3638087058923341,-1.493702352826799,5.165471854575847e-4,0.00574897886037052,0.00424917957627876,1025,"tags=34%, list=17%, signal=30%",855313/1466480/850906/855501/851983/856626/854334/856720/851560/852009/852065/851892/851504/854495/854295/853452/854973/853585/853106/854986/856529/854384/853984/856925/854913/852327/852092/852644/852038/852813/852133/853326/856579/850317/853830/853510/851726/851822/854278/855288/850614/856221/851073/851342/851059/850499/856801/850370/854514/852128/854326/855248/855913/856609/855855/855857/850310/854356/853705/855521/852144/855149/851171/853123/855321/855732/851620/856473/852846/854525/850933/851541/853169/855131/856759,1728,aneu
GO:0071103,DNA conformation change,199,0.45055801362516046,1.5519306354193914,5.9512167381012e-4,0.00650305683563422,0.00480653294445685,949,"tags=23%, list=16%, signal=20%",856940/856334/850659/854630/853213/853231/853922/850597/850660/856630/853327/853889/852410/850638/855377/853475/854869/853848/855846/854976/854906/855626/853752/855976/850445/853748/851220/853852/853880/853976/856890/855920/850478/851214/852294/854901/850419/854404/855535/853315/851771/851699/856822/852673/851905/852728,1728,aneu
GO:0034599,cellular response to oxidative stress,115,-0.42012747990158383,-1.587378998421093,0.001104902039051,0.01164993202578337,0.00861068625077605,667,"tags=23%, list=11%, signal=21%",850922/852291/851513/850322/850504/854073/853559/852820/855913/853149/856506/850950/854287/850799/851974/852215/850633/856504/856921/852934/852124/854104/851433/852064/855291/850532,1728,aneu
GO:0070085,glycosylation,88,-0.46208457922108714,-1.6683909678219728,0.00123016795613818,0.01265826993128629,0.00935596796742764,923,"tags=40%, list=15%, signal=34%",853538/856720/852845/851504/852735/852545/855026/855764/855502/851366/854320/855180/853256/854989/852835/853113/854266/853455/852924/856611/850499/856716/854514/852458/852407/853470/854163/855679/854498/852094/852815/856718/851902/854762/851334,1728,aneu
GO:0019953,sexual reproduction,231,-0.3565276130600024,-1.4619598590256098,0.00126372079180894,0.01265826993128629,0.00935596796742764,834,"tags=18%, list=14%, signal=16%",856861/854038/852406/855179/854109/851532/856240/850811/853140/851358/850504/855640/850299/851359/854946/855596/853283/855103/851055/855170/853418/850367/856770/852826/854387/852128/853269/853548/855087/852295/856924/853766/851173/852920/851658/854686/852851/850518/850330/854797/855577/852072,1728,aneu
GO:0044703,multi-organism reproductive process,231,-0.3565276130600024,-1.4619598590256098,0.00126372079180894,0.01265826993128629,0.00935596796742764,834,"tags=18%, list=14%, signal=16%",856861/854038/852406/855179/854109/851532/856240/850811/853140/851358/850504/855640/850299/851359/854946/855596/853283/855103/851055/855170/853418/850367/856770/852826/854387/852128/853269/853548/855087/852295/856924/853766/851173/852920/851658/854686/852851/850518/850330/854797/855577/852072,1728,aneu
GO:0007034,vacuolar transport,188,-0.36409514504789486,-1.4663597095247742,0.00198261325430081,0.01833154716668903,0.01354919503344036,1070,"tags=32%, list=18%, signal=27%",853112/855983/855271/855869/850840/851074/855906/855676/852591/853212/852785/850810/856576/853177/856508/855949/852605/851261/851532/852462/850772/853348/850482/853991/851087/856337/851168/856686/851954/852537/853457/855300/855103/853416/856803/856021/850319/854634/851685/850941/850400/853233/855420/856141/856702/853441/852095/853502/854734/856901/851348/850544/854071/852774/855012/851663/854907/856088/855380/855812,1728,aneu
GO:0010558,negative regulation of macromolecule biosynthetic process,374,0.3856941372124408,1.3952428117680624,0.00201540426048784,0.0183523933417151,0.0135646028377332,1226,"tags=27%, list=20%, signal=23%",850449/854927/853836/850744/855060/853327/853889/3289591/852410/850638/853631/854106/853475/853688/852955/853865/853848/853197/856366/853846/851212/856908/855626/852652/855092/855976/850445/853966/851753/853828/853748/850347/856674/856437/850513/851220/850793/852860/856178/853880/853976/852042/853383/853381/855920/851214/853744/853859/854249/852294/852809/856382/852107/854404/853938/851788/854910/855535/854999/853523/853315/855522/851699/856058/856822/852322/851905/856763/852184/852728/855648/856247/856351/856134/9164885/856904/853650/850873/855656/851928/856076/850551/854448/851688/851394/850641/850630/851774/850515/851810/851903/850440/852547/854675/853985/850920/855492/855975/854773/851452/850702,1728,aneu
GO:1901615,organic hydroxy compound metabolic process,147,-0.3886587789134542,-1.5040496421427874,0.0022687358452341,0.02035089914904024,0.01504173647586475,1053,"tags=29%, list=17%, signal=24%",855699/850648/855009/851376/851634/854334/854342/851126/851987/856597/852146/854556/854913/855107/855860/854950/855164/852883/856079/855566/856535/854014/850790/854090/851865/855248/852796/855457/856745/854303/852144/854932/851171/850953/851802/854287/851620/854762/856638/851238/851334/856791,1728,aneu
GO:0009636,response to toxic substance,51,-0.5191254483255416,-1.6855861186194094,0.00240855031725927,0.02097882232859165,0.01550584643605513,1530,"tags=53%, list=25%, signal=40%",851551/853179/854805/856452/856450/851948/853058/856014/851386/853792/854855/853377/853568/854856/852015/854324/850322/856350/853149/856506/854932/855482/850799/852215/852124/852979/852064,1728,aneu
GO:0034728,nucleosome organization,80,0.5276905318374709,1.6127417595959068,0.00254461925677921,0.02153966441301843,0.01592037548348152,1151,"tags=32%, list=19%, signal=27%",853922/853327/852532/852410/850638/851346/854869/855976/850445/852432/852277/850598/851214/852294/854901/856146/851222/850419/851771/850534/851699/853192/852728/851170/851810/852547,1728,aneu
GO:0042157,lipoprotein metabolic process,50,-0.5142599581486151,-1.6666157969115338,0.0028862254762278,0.02342013121055794,0.01731026424530249,1449,"tags=50%, list=24%, signal=38%",855690/851896/856029/856004/850628/853354/853384/850947/852289/854199/850777/851931/852735/856576/851181/854320/850809/854772/851763/853130/852044/852796/855324/853470/855928,1728,aneu
GO:0051704,multi-organism process,232,-0.34602591740164995,-1.4223319922807722,0.00310386516319229,0.02342013121055794,0.01731026424530249,834,"tags=18%, list=14%, signal=16%",856861/854038/852406/855179/854109/851532/856240/850811/853140/851358/850504/855640/850299/851359/854946/855596/853283/855103/851055/855170/853418/850367/856770/852826/854387/852128/853269/853548/855087/852295/856924/853766/851173/852920/851658/854686/852851/850518/850330/854797/855577/852072,1728,aneu
GO:2000113,negative regulation of cellular macromolecule biosynthetic process,370,0.3849774532161442,1.3917616714121137,0.00313282612841987,0.02342013121055794,0.01731026424530249,1226,"tags=27%, list=20%, signal=23%",850449/854927/853836/850744/855060/853327/853889/3289591/852410/850638/853631/854106/853475/853688/852955/853865/853848/853197/856366/853846/851212/856908/855626/852652/855092/855976/850445/853966/851753/853828/853748/850347/856674/856437/850513/851220/850793/852860/856178/853880/853976/852042/853383/853381/855920/851214/853744/853859/854249/852294/852809/856382/852107/854404/853938/851788/854910/855535/854999/853523/853315/855522/851699/856058/856822/852322/851905/856763/852184/852728/855648/856247/856351/856134/9164885/856904/853650/850873/855656/851928/856076/850551/854448/851688/851394/850641/850630/850515/851810/851903/850440/852547/854675/853985/850920/855975/854773/851452/850702,1728,aneu
GO:0032200,telomere organization,92,0.505895197171008,1.5770900144327415,0.00313565753605385,0.02342013121055794,0.01731026424530249,572,"tags=17%, list=9%, signal=16%",853811/856940/853213/853910/853743/856831/855377/853255/853197/1500489/850346/855846/854976/850843/852933/855836,1728,aneu
GO:0034220,ion transmembrane transport,275,-0.32221434996752313,-1.3614586894262497,0.00317744593890738,0.02342013121055794,0.01731026424530249,1198,"tags=28%, list=20%, signal=23%",854572/850770/852637/856131/853570/853104/856045/851944/852485/853131/852066/854466/855880/853246/856659/1466480/852684/856260/851983/852601/855669/850385/853514/855425/851560/851738/850721/851943/851892/854444/854447/852876/853585/852327/852189/854246/856391/854255/852596/851168/855308/853326/850781/856686/851954/852537/852709/853457/850319/851342/854305/851616/850821/856448/850942/854695/855857/854916/855369/852878/854027/855854/856714/856279/851321/856132/850462/856421/852946/856567/855660/856779/856349/855863/852343/851597,1728,aneu
GO:0009890,negative regulation of biosynthetic process,400,0.3741181556275968,1.359048017512534,0.00319542555618261,0.02342013121055794,0.01731026424530249,1226,"tags=27%, list=20%, signal=23%",850449/854927/853836/850744/855060/853327/853889/3289591/852410/850638/853631/854106/853475/853688/852955/853865/853848/853197/856366/853846/851212/853945/856908/855626/852652/855092/855976/850445/853966/851753/853828/853748/850347/856674/856437/850513/851220/850793/852860/856178/853880/853976/852042/851064/853383/853381/855920/851214/853744/853859/854249/852294/852809/856382/852107/854404/853938/851788/854910/855535/854999/853523/853315/855522/851699/856058/856822/850865/852322/851905/856763/852184/852728/855648/856247/856351/856134/9164885/856904/853650/850873/855656/851928/856076/850551/855166/851908/854448/851688/851394/850641/850630/851774/850515/851810/851903/850440/852547/854675/853985/850920/852694/852624/855492/855975/854773/851452/850702,1728,aneu
GO:0031327,negative regulation of cellular biosynthetic process,400,0.3741181556275968,1.359048017512534,0.00319542555618261,0.02342013121055794,0.01731026424530249,1226,"tags=27%, list=20%, signal=23%",850449/854927/853836/850744/855060/853327/853889/3289591/852410/850638/853631/854106/853475/853688/852955/853865/853848/853197/856366/853846/851212/853945/856908/855626/852652/855092/855976/850445/853966/851753/853828/853748/850347/856674/856437/850513/851220/850793/852860/856178/853880/853976/852042/851064/853383/853381/855920/851214/853744/853859/854249/852294/852809/856382/852107/854404/853938/851788/854910/855535/854999/853523/853315/855522/851699/856058/856822/850865/852322/851905/856763/852184/852728/855648/856247/856351/856134/9164885/856904/853650/850873/855656/851928/856076/850551/855166/851908/854448/851688/851394/850641/850630/851774/850515/851810/851903/850440/852547/854675/853985/850920/852694/852624/855492/855975/854773/851452/850702,1728,aneu
GO:0006312,mitotic recombination,56,0.564804477569311,1.659421386951488,0.00343973028423694,0.02490696266055911,0.01840920963789464,327,"tags=18%, list=5%, signal=17%",856940/853747/853213/853910/856831/855377/853255/1500489/855846/854976,1728,aneu
GO:0006486,protein glycosylation,78,-0.4483146976625121,-1.6028436832127173,0.00361110242248924,0.02553261830489453,0.01887164361969611,840,"tags=38%, list=14%, signal=34%",856720/852845/851504/852545/855026/855764/855502/851366/855180/853256/854989/852835/853113/854266/853455/852924/856611/850499/856716/854514/852407/854163/855679/854498/852094/852815/856718/851902/854762/851334,1728,aneu
GO:0043413,macromolecule glycosylation,78,-0.4483146976625121,-1.6028436832127173,0.00361110242248924,0.02553261830489453,0.01887164361969611,840,"tags=38%, list=14%, signal=34%",856720/852845/851504/852545/855026/855764/855502/851366/855180/853256/854989/852835/853113/854266/853455/852924/856611/850499/856716/854514/852407/854163/855679/854498/852094/852815/856718/851902/854762/851334,1728,aneu
GO:0006405,RNA export from nucleus,128,0.4571381052993456,1.4866230553054234,0.00425340019212113,0.02872239905016629,0.02122927121318885,1317,"tags=36%, list=22%, signal=29%",853714/853649/850414/853860/854469/850763/853666/850796/853796/850346/853970/853160/855728/854844/855837/854468/852755/855789/853969/852972/852814/854028/856012/856228/854940/852229/850437/853445/851565/856868/850703/851963/856723/852322/855495/852549/851240/850551/853202/851774/850625/853499/854982/855316/855512/854338,1728,aneu
GO:0006913,nucleocytoplasmic transport,182,0.4307555849264246,1.46657849791478,0.00441316442167455,0.02914628370798247,0.02154257242274911,1039,"tags=27%, list=17%, signal=23%",853714/853967/853649/850414/853922/853537/853860/854469/852569/850763/853666/850796/853796/853535/850346/853970/853160/855728/854844/856674/855837/854468/852755/855789/853969/852972/852814/854028/856012/856228/854940/850705/852229/850437/854436/853445/851565/856868/850703/851963/856721/856425/856723/852322/855495/851442/852549/851240/856076/850551,1728,aneu
GO:0051169,nuclear transport,182,0.4307555849264246,1.46657849791478,0.00441316442167455,0.02914628370798247,0.02154257242274911,1039,"tags=27%, list=17%, signal=23%",853714/853967/853649/850414/853922/853537/853860/854469/852569/850763/853666/850796/853796/853535/850346/853970/853160/855728/854844/856674/855837/854468/852755/855789/853969/852972/852814/854028/856012/856228/854940/850705/852229/850437/854436/853445/851565/856868/850703/851963/856721/856425/856723/852322/855495/851442/852549/851240/856076/850551,1728,aneu
GO:0071166,ribonucleoprotein complex localization,127,0.4571413143388475,1.4836069831489775,0.00478252146516234,0.03029756426852765,0.02239350577339289,1317,"tags=35%, list=22%, signal=28%",853714/853649/850414/853860/854469/850763/853666/850796/853796/850346/853970/853160/855728/854844/855837/854468/852755/855789/853969/852972/852814/854028/856012/856228/854940/852229/850437/853445/856868/850703/851963/856723/852322/855495/852549/851240/850551/853202/851774/850625/853499/854982/855316/855512/854338,1728,aneu
GO:0006979,response to oxidative stress,131,-0.3885259420377182,-1.483373012348184,0.00478913245509172,0.03029756426852765,0.02239350577339289,667,"tags=21%, list=11%, signal=19%",850922/852291/851513/850322/850504/855811/854073/853559/852820/855913/853149/856506/850950/854287/850799/851974/852215/850633/856504/856921/852934/852124/854104/852979/851433/852064/855291/850532,1728,aneu
GO:0009100,glycoprotein metabolic process,89,-0.40384056494794224,-1.4654094143805807,0.00727556487436494,0.04204437009128201,0.03107579328929154,923,"tags=35%, list=15%, signal=30%",853538/856720/852845/851504/852545/855026/855764/855502/851366/855180/853256/854989/852835/853113/854266/853455/852924/856611/850499/856716/854514/852407/854163/855679/854498/852094/852815/856718/851902/854762/851334,1728,aneu
