Keep,Order,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,sample,details
Yes,11,GO:0051640,organelle localization,127,-0.43955027,-1.813949526,4.50E-05,4.50E-05,0.009871566,807,"tags=41%, list=23%, signal=33%",YPL017C/YLR383W/YDL116W/YLL013C/YPR181C/YNL271C/YDR166C/YDR477W/YPR055W/YGL092W/YFR002W/YOR326W/YDR361C/YDR179W-A/YDR323C/YOR098C/YJR042W/YFR051C/YAL029C/YER036C/YIL144W/YAR002W/YIL149C/YGR218W/YDR189W/YNL079C/YLR148W/YIR003W/YGR245C/YIL068C/YPR083W/YER125W/YFL037W/YHR194W/YCL016C/YCL029C/YIL115C/YER008C/YLR396C/YBR102C/YGL093W/YLL001W/YNR049C/YAL014C/YOL069W/YPL220W/YPL269W/YGL233W/YJL019W/YMR183C/YGR231C/YGR132C,1728,
Yes,9,GO:0007010,cytoskeleton organization,176,-0.406095905,-1.748074066,4.64E-05,4.64E-05,0.009871566,847,"tags=41%, list=24%, signal=33%",YJR089W/YHR158C/YER047C/YDR507C/YJR076C/YPL017C/YBL007C/YBR170C/YNL012W/YEL022W/YNL298W/YNL271C/YDR477W/YJL128C/YGR136W/YNL020C/YJR065C/YFR016C/YIL118W/YNL126W/YGL206C/YOR326W/YER149C/YDR361C/YCR065W/YAR014C/YOL078W/YGL160W/YLR425W/YNL293W/YCL024W/YAL029C/YIR006C/YNL233W/YML031W/YBL063W/YLL003W/YCR030C/YPL242C/YDR168W/YHR023W/YNR031C/YIL149C/YNL079C/YLR371W/YAL047C/YER007W/YPL255W/YIR003W/YBR038W/YCL034W/YGR245C/YNL225C/YBL031W/YNL047C/YJL042W/YER125W/YFL037W/YLR006C/YCL029C/YBL105C/YOR329C/YFL047W/YAR019C/YER155C/YIL034C/YIL126W/YOL069W/YPL269W/YAL041W/YJL019W/YOR043W,1728,
No,,GO:0006887,exocytosis,41,-0.595313346,-2.055940528,4.74E-05,4.74E-05,0.009871566,776,"tags=61%, list=22%, signal=48%",YBL106C/YDR166C/YPR055W/YPR095C/YIL118W/YGR009C/YOR326W/YHR001W/YDR323C/YNL293W/YHR073W/YDR189W/YNL079C/YOR237W/YLR148W/YIL068C/YJL204C/YER008C/YLR396C/YBR102C/YER031C/YNR049C/YAL014C/YGL233W/YMR183C,1728,Revigo compressed
No,,GO:0044281,small molecule metabolic process,501,0.284758074,1.449369543,6.24E-05,6.24E-05,0.012072732,751,"tags=30%, list=22%, signal=27%",YLR056W/YML008C/YLR372W/YHR091C/YLR142W/YPL097W/YDL080C/YLR058C/YDR226W/YMR084W/YLR081W/YHR011W/YNL073W/YHR128W/YPL104W/YGR193C/YOR037W/YPL262W/YGR180C/YBR026C/YHR216W/YCR024C/YOR347C/YER087W/YOR303W/YGR066C/YGR204W/YOR374W/YLR354C/YLR303W/YOR025W/YDL124W/YCR005C/YBR035C/YLR438W/YJL116C/YLR151C/YGL184C/YDR268W/YOR142W/YEL071W/YLR432W/YCR020C/YNL191W/YGR286C/YGR171C/YDL174C/YML051W/YOL061W/YMR108W/YBR058C/YMR318C/YPL040C/YDR255C/YML035C/YDR019C/YGL253W/YML110C/YNL274C/YOR120W/YLR355C/YOR221C/YGL012W/YDR354W/YOR270C/YLR351C/YGL248W/YLR450W/YOR100C/YGL062W/YJL088W/YGR248W/YJL198W/YMR015C/YPR047W/YML056C/YGL026C/YBR240C/YNL277W/YER065C/YDR009W/YLR174W/YIL160C/YMR246W/YOL059W/YER072W/YGR255C/YLR044C/YGR144W/YDR399W/YLR089C/YLR134W/YPR074C/YDR313C/YHR037W/YDR452W/YOR251C/YPR145W/YML075C/YPL170W/YHR067W/YLR146C/YDR441C/YER086W/YIL155C/YGR244C/YML123C/YDR216W/YOL056W/YGR087C/YHR046C/YDR294C/YDR502C/YNL241C/YDR007W/YBL080C/YBR176W/YDL170W/YER062C/YLR017W/YMR272C/YER061C/YLR209C/YLR070C/YNL104C/YJL200C/YIR032C/YMR170C/YBR222C/YER091C/YER070W/YOR311C/YGL125W/YFL018C/YPR167C/YJR090C/YLR328W/YBL098W/YMR120C/YMR165C/YOR040W/YML054C/YAL060W/YDR020C/YDL078C/YGL227W/YER055C/YLR180W/YHR202W/YOR202W,1728,Manually compressed, strain specific
Yes,6,GO:0006996,organelle organization,762,-0.288726225,-1.418276045,7.89E-05,7.89E-05,0.014246165,695,"tags=27%, list=20%, signal=27%",YGL153W/YJL178C/YPR055W/YJR035W/YBL032W/YGL092W/YNL054W/YHL021C/YHR153C/YML091C/YNL020C/YJR135C/YNL216W/YJR065C/YHR161C/YIL033C/YFR016C/YFR002W/YDR146C/YIL118W/YNL126W/YGR009C/YCL011C/YGL206C/YDR118W/YOR326W/YER149C/YDR361C/YDR229W/YOR351C/YBR136W/YCR065W/YCR093W/YPR140W/YAR014C/YOL078W/YDR179W-A/YPL100W/YDR323C/YDR506C/YDR180W/YGL160W/YOR098C/YCR066W/YLR425W/YNL293W/YMR077C/YOR211C/YCR068W/YFR013W/YFR051C/YAR003W/YEL055C/YER173W/YAR033W/YGL190C/YJL074C/YMR308C/YCL024W/YAL029C/YIR006C/YDL065C/YCR079W/YGL169W/YNL233W/YEL005C/YNL329C/YPL236C/YIR010W/YOR119C/YJL076W/YIL144W/YML031W/YMR232W/YGL033W/YFL016C/YGL150C/YBL063W/YHR073W/YFR046C/YLL003W/YHL022C/YJR034W/YOL077C/YGR162W/YCR030C/YPL242C/YAR002W/YPL164C/YDR168W/YHR023W/YDR170C/YNR031C/YMR076C/YJL039C/YIL149C/YJL073W/YBR098W/YDR325W/YDR189W/YPL235W/YNL079C/YAL002W/YLR371W/YIL026C/YAL047C/YER007W/YNL121C/YPL255W/YLR148W/YIR003W/YBR038W/YCL034W/YGR245C/YFL003C/YFL008W/YIL031W/YAL015C/YNL225C/YBR097W/YFL046W/YNL294C/YBL031W/YPL203W/YNL047C/YJL042W/YIL068C/YHR174W/YPR083W/YER125W/YFL037W/YLR006C/YHR194W/YJL112W/YML097C/YEL030W/YBL097W/YGR178C/YCL016C/YGR033C/YCL029C/YCL001W-B/YNL250W/YLR430W/YFR021W/YGR071C/YPL015C/YER008C/YLR396C/YFL004W/YBL105C/YOR329C/YBL035C/YCR077C/YAR002C-A/YPL018W/YER147C/YJL013C/YER171W/YNL172W/YGL093W/YFL047W/YAL008W/YAR019C/YIR025W/YJL054W/YFR031C/YDR207C/YML065W/YCL005W/YLL001W/YER155C/YLR240W/YIL034C/YIR004W/YAL014C/YIL048W/YAL035W/YAL034W-A/YIL126W/YOL069W/YIL109C/YIR002C/YOL072W/YIL146C/YAL016W/YPL269W/YOR262W/YIL143C/YCL008C/YNL163C/YAL011W/YEL032W/YAL024C/YAL041W/YJL019W/YOR043W/YMR183C/YIL072W/YGR231C/YGR132C/YHR164C,1728,
No,,GO:0016072,rRNA metabolic process,122,-0.429934814,-1.762302962,0.000152667,0.000152667,0.024500875,517,"tags=32%, list=15%, signal=28%",YEL055C/YML010W/YGL120C/YHR034C/YHR196W/YOR119C/YJL025W/YIL091C/YOL077C/YDR138W/YLL011W/YPL235W/YPL082C/YPL043W/YLR409C/YPL217C/YER125W/YMR285C/YBR123C/YHR040W/YCL001W-B/YLR430W/YOL115W/YDL148C/YMR093W/YBR142W/YCL054W/YNL224C/YGL171W/YMR131C/YAL035W/YBL004W/YFL009W/YPL220W/YLR129W/YJL033W/YAL001C/YMR239C/YPL266W,1728,Revigo compressed
No,,GO:0022607,cellular component assembly,420,-0.321472104,-1.518544245,0.00016633,0.00016633,0.024500875,667,"tags=34%, list=19%, signal=31%",YML032C/YJR076C/YPL017C/YBL007C/YHR004C/YNL012W/YDR092W/YGL141W/YPR181C/YPR103W/YPL011C/YPL204W/YNL271C/YDR166C/YDR477W/YHR200W/YMR306W/YLR086W/YPL241C/YJL178C/YHR153C/YNL020C/YBR180W/YHR161C/YIL033C/YFR016C/YBR055C/YNL160W/YMR148W/YIL118W/YNL126W/YER063W/YHR030C/YGR116W/YER149C/YAL032C/YDR361C/YCR093W/YPR140W/YAR014C/YER172C/YPL100W/YNL286W/YGL004C/YLR425W/YMR240C/YNL293W/YOR211C/YEL055C/YML010W/YGL190C/YJL074C/YHR034C/YMR301C/YCL024W/YIR006C/YNL233W/YPR178W/YNL236W/YJL076W/YML031W/YMR232W/YJL025W/YBL063W/YFR046C/YLL003W/YJR034W/YOL077C/YGR162W/YCR030C/YPL242C/YDL117W/YDR168W/YHR023W/YDR170C/YMR172W/YFL007W/YMR288W/YBR023C/YDR325W/YHR165C/YDR189W/YPL235W/YNL079C/YCR042C/YDR364C/YIR005W/YLR371W/YAL047C/YER007W/YPL255W/YLR148W/YIR003W/YOR259C/YMR227C/YPL082C/YER022W/YGR131W/YFL046W/YMR039C/YCL017C/YPL203W/YNL047C/YIL068C/YER125W/YLL005C/YFL037W/YGR178C/YHR040W/YCL027W/YCL029C/YBR079C/YFR021W/YIR023W/YER008C/YBR198C/YLR396C/YBL105C/YCR077C/YIL120W/YFR050C/YER013W/YBR102C/YAR019C/YMR191W/YFR031C/YML065W/YLL001W/YLR240W/YIL034C/YNR049C/YIR019C/YAL035W/YAL034W-A/YBR237W/YMR205C/YNL163C/YER027C/YEL032W/YJL019W/YMR183C/YIL072W,1728,Revigo compressed
No,,GO:0033567,"DNA replication, Okazaki fragment processing",3,-0.976883368,-1.632489878,0.000179436,0.000179436,0.024500875,59,"tags=67%, list=2%, signal=66%",YIR002C/YHR164C,1728,Manually compressed, strain specific
No,,GO:0022613,ribonucleoprotein complex biogenesis,167,-0.393861104,-1.691816342,0.000182189,0.000182189,0.024500875,642,"tags=38%, list=19%, signal=32%",YBR055C/YFR002W/YER063W/YML093W/YAL032C/YDR361C/YIL019W/YJL050W/YER172C/YNL286W/YOR098C/YJR042W/YMR240C/YEL055C/YML010W/YGL120C/YHR034C/YHR196W/YER036C/YPR178W/YOR119C/YIL091C/YOL077C/YGR162W/YMR288W/YHR165C/YGR218W/YLL011W/YPL235W/YDR364C/YIR005W/YGR245C/YPL082C/YPL043W/YLR409C/YPL217C/YER125W/YMR285C/YHR040W/YPR169W/YIL115C/YLR430W/YBR079C/YDL148C/YMR093W/YCR077C/YBR142W/YCL054W/YER013W/YNL224C/YBR102C/YGL171W/YMR131C/YAL035W/YBR237W/YBL004W/YFL009W/YPL220W/YNL163C/YLR129W/YJL033W/YMR239C/YPL266W,1728,Revigo compressed
No,,GO:0006412,translation,178,0.365987937,1.693530031,0.00018926,0.00018926,0.024500875,501,"tags=29%, list=14%, signal=26%",YLL045C/YHR091C/YPL097W/YLR143W/YOR187W/YHR011W/YLR289W/YJR113C/YER153C/YNL073W/YPL184C/YPL104W/YDR405W/YCR024C/YHR168W/YAL005C/YER087W/YOR091W/YHL004W/YNL209W/YEL050C/YGL143C/YDL044C/YCR071C/YLR069C/YNL067W/YDR268W/YGR171C/YDL134C/YPL040C/YOL045W/YER035W/YNL096C/YLR439W/YOR276W/YLR398C/YDL229W/YNL063W/YPR047W/YOR173W/YCR046C/YBR146W/YDR496C/YMR257C/YPL048W/YIL093C/YLR281C/YMR247C/YNL137C/YDR283C/YPR042C/YNL005C,1728,Revigo compressed
Yes,8,GO:0051301,cell division,195,-0.376250324,-1.649924992,0.00018997,0.00018997,0.024500875,856,"tags=38%, list=25%, signal=30%",YJL030W/YDL017W/YJR089W/YHR158C/YHL027W/YDR507C/YJR076C/YOL004W/YPL256C/YNL271C/YHR149C/YAL040C/YLR086W/YGL238W/YJR135C/YHR030C/YDR118W/YOR326W/YER149C/YGR152C/YAR014C/YCL014W/YLR425W/YJL074C/YCL024W/YIR006C/YNL233W/YIR010W/YOR119C/YJL076W/YIL144W/YDR182W/YBL063W/YFR046C/YLL003W/YPL242C/YDL117W/YDR168W/YHR023W/YIL129C/YMR076C/YDR325W/YNL079C/YLR371W/YIL026C/YAL047C/YLR310C/YBR038W/YFL008W/YNL225C/YBL031W/YBL097W/YCL029C/YOL115W/YDR293C/YBL105C/YCR077C/YIL050W/YPL018W/YER147C/YHR102W/YJL013C/YNL172W/YAR019C/YIR025W/YFR031C/YCR038C/YAL034W-A/YOL069W/YFL009W/YOL072W/YBR156C/YAL024C/YAL041W,1728,
Yes,4,GO:0015980,energy derivation by oxidation of organic compounds,92,0.441082762,1.847863502,0.000255479,0.000255479,0.02990346,553,"tags=34%, list=16%, signal=29%",YER177W/YOR355W/YLR256W/YPL262W/YBR026C/YJR048W/YCR005C/YJL116C/YOR142W/YBR238C/YOL045W/YOR356W/YML110C/YGL134W/YJL137C/YML120C/YMR145C/YFR033C/YMR081C/YGR177C/YJL209W/YER065C/YOR178C/YLR258W/YLR174W/YER059W/YLR044C/YLR134W/YNR032W/YLR304C/YGR244C,1728,
No,,GO:0043043,peptide biosynthetic process,182,0.360626846,1.66699225,0.00026988,0.00026988,0.02990346,501,"tags=29%, list=14%, signal=26%",YLL045C/YHR091C/YPL097W/YLR143W/YOR187W/YHR011W/YLR289W/YJR113C/YER153C/YNL073W/YPL184C/YPL104W/YDR405W/YCR024C/YHR168W/YAL005C/YER087W/YOR091W/YHL004W/YNL209W/YEL050C/YGL143C/YDL044C/YCR071C/YLR069C/YNL067W/YDR268W/YGR171C/YDL134C/YPL040C/YOL045W/YER035W/YNL096C/YLR439W/YOR276W/YLR398C/YDL229W/YNL063W/YPR047W/YOR173W/YCR046C/YBR146W/YDR496C/YMR257C/YPL048W/YIL093C/YLR281C/YMR247C/YNL137C/YDR283C/YPR042C/YNL005C,1728,Revigo compressed
No,,GO:0070727,cellular macromolecule localization,515,-0.304739113,-1.458317926,0.000279784,0.000279784,0.02990346,799,"tags=30%, list=23%, signal=28%",YGR142W/YDL116W/YBR170C/YLL013C/YDR092W/YML109W/YPR181C/YNL298W/YBL106C/YDR495C/YPL204W/YNL271C/YGL137W/YLR384C/YDR166C/YER129W/YNR006W/YJL192C/YJL128C/YGR136W/YDL231C/YNR066C/YGL153W/YJL178C/YDL145C/YGL238W/YPR055W/YBL032W/YNR065C/YGL092W/YNL054W/YCR032W/YNL216W/YIL033C/YFR002W/YAL042W/YNL287W/YPR095C/YHR030C/YGR009C/YGL206C/YOR326W/YER149C/YDR361C/YGR152C/YAR014C/YPL100W/YFR023W/YDR180W/YOR098C/YJR042W/YHL028W/YNL293W/YMR077C/YFR051C/YNL053W/YML010W/YAR033W/YGL190C/YMR308C/YPL268W/YAL029C/YDL065C/YGL051W/YJL029C/YEL005C/YNL297C/YNL329C/YNL236W/YJL076W/YIL144W/YML031W/YNL041C/YIL002C/YJL110C/YLR119W/YML125C/YPL002C/YPL242C/YAR002W/YJL212C/YHR023W/YDR170C/YJL039C/YIL149C/YIL030C/YBR023C/YGR218W/YDR189W/YMR185W/YNL079C/YAL002W/YBL040C/YIL005W/YHL002W/YNL121C/YLR417W/YPL255W/YLR148W/YJL099W/YGR245C/YAL026C/YGR131W/YER151C/YBR097W/YFR022W/YNL294C/YNL047C/YIL068C/YER125W/YJL204C/YML097C/YEL030W/YGR033C/YCL027W/YGL045W/YIL115C/YFR021W/YDR293C/YCR100C/YER008C/YER113C/YLR396C/YFL004W/YOR329C/YDR292C/YAR002C-A/YHL019C/YDR238C/YPL018W/YER147C/YHR136C/YBR102C/YGL093W/YCL001W/YAR019C/YJL054W/YNR016C/YOR160W/YLR240W/YER031C/YNR049C/YIR004W/YAL014C/YER110C/YIL048W/YOR208W/YAL034W-A/YIL109C/YOR262W/YCL008C/YGL233W/YAL001C/YPR105C/YAL024C/YAL041W/YMR183C,1728,Revigo compressed
No,,GO:0043604,amide biosynthetic process,212,0.341552982,1.607081086,0.000283126,0.000283126,0.02990346,514,"tags=27%, list=15%, signal=24%",YLL045C/YHR091C/YPL097W/YLR143W/YOR187W/YHR011W/YLR289W/YJR113C/YER153C/YNL073W/YPL184C/YPL104W/YDR405W/YGR193C/YCR024C/YHR168W/YAL005C/YER087W/YOR091W/YGR038W/YHL004W/YNL209W/YEL050C/YGL143C/YDL044C/YER019W/YCR071C/YLR069C/YNL067W/YDR268W/YGR286C/YGR171C/YDL134C/YPL040C/YOL045W/YER035W/YNL096C/YLR439W/YOR276W/YLR398C/YDL229W/YNL063W/YPR047W/YOR173W/YCR046C/YBR146W/YDR496C/YMR257C/YPL048W/YIL093C/YLR281C/YMR247C/YNL137C/YDR283C/YPR042C/YNL005C/YPR145W,1728,Revigo compressed
Yes,13,GO:0090501,RNA phosphodiester bond hydrolysis,48,-0.542865088,-1.91316676,0.000287064,0.000287064,0.02990346,694,"tags=44%, list=20%, signal=35%",YNL317W/YOL021C/YML091C/YML093W/YJL050W/YJL208C/YOL077C/YNR052C/YPL217C/YMR285C/YDR301W/YDR293C/YAL043C/YDL148C/YGL094C/YGL171W/YBL004W/YFL009W/YAL021C/YLR129W/YMR239C,1728,
No,,GO:0006091,generation of precursor metabolites and energy,126,0.378882086,1.659385652,0.000464364,0.000464364,0.044820857,553,"tags=29%, list=16%, signal=26%",YER177W/YOR355W/YLR256W/YPL262W/YBR026C/YOR347C/YOR374W/YLR354C/YJR048W/YCR005C/YJL116C/YOR142W/YBR238C/YOL045W/YGL253W/YOR356W/YML110C/YGL134W/YJL137C/YGR248W/YML120C/YMR145C/YFR033C/YMR081C/YGR177C/YJL209W/YER065C/YOR178C/YLR258W/YLR174W/YER059W/YLR044C/YLR134W/YPR074C/YNR032W/YLR304C/YGR244C,1728,Manually compressed, strain specific
